repo_id,Primary Language,Repo_description,size,stars,commits_count,contributors_count_without_anonymous,contributors_count_with_anonymous,created_at,pushed_at,repo/username,repo_link
130473,JavaScript,A simple javascript shopping cart that easily integrates with your current website.,1199,1713,269,15,16,17 February 2009,03 January 2017,simplecart-js,
131505,Ruby,"minitest provides a complete suite of testing facilities supporting TDD, BDD, mocking, and benchmarking.",1315,2362,717,2,3,18 February 2009,06 March 2018,minitest,
132108,Ruby, Typhoeus wraps libcurl in order to make fast and reliable requests.,1423,3267,1354,116,133,18 February 2009,21 February 2018,typhoeus,
132914,Objective-C,"KeyCastr, an open-source keystroke visualizer",6232,2564,120,14,16,19 February 2009,17 November 2017,keycastr/keycastr,
137515,PHP,"Mockery is a simple yet flexible PHP mock object framework for use in unit testing with PHPUnit, PHPSpec or any other testing framework. Its core goal is to offer a test double framework with a succint API capable of clearly defining all possible object operations and interactions using a human readable Domain Specific Language (DSL).",1847,3727,1524,117,149,25 February 2009,13 February 2018,mockery,
137805,Ruby,A Ruby client library for Redis,1660,3090,1532,118,147,26 February 2009,13 March 2018,redis-rb,
143489,Ruby,Strategies for cleaning databases in Ruby.  Can be used to ensure a clean state for testing.,921,2237,861,152,182,05 March 2009,09 February 2018,database_cleaner,
153329,Objective-C,Core Data code generation,1859,2960,631,63,84,18 March 2009,22 September 2017,mogenerator,
165883,Python,Codemod is a tool/library to assist you with large-scale codebase refactors that can be partially automated but still require human oversight and occasional intervention. Codemod was developed at Facebook and released as open source.,93,2107,104,26,29,02 April 2009,18 December 2017,codemod,
176780,Ruby,Complete Ruby geocoding solution.,2361,4891,1881,259,300,15 April 2009,13 February 2018,alexreisner/geocoder,
182410,Ruby,"GitHub Issues on the command line. Use your $EDITOR, not your browser.",1259,1927,475,36,42,22 April 2009,03 October 2017,ghi,
184311,Objective-C,Objective-c code Apple style documentation set generator.,43876,3791,1126,80,98,24 April 2009,26 January 2018,appledoc,
184460,Python,Distributed Task Queue (development branch),46519,8696,10508,406,740,24 April 2009,12 February 2018,celery,
184604,Java,"Twitter4J is an open-sourced, mavenized and Google App Engine safe Java library for the Twitter API which is released under the Apache License 2.0.",10729,2183,2133,111,145,24 April 2009,03 January 2018,twitter4j,
186749,C,http request/response parser for c,679,3785,412,75,87,27 April 2009,09 February 2018,http-parser,
190137,JavaScript,jQuery grid plugin,31187,2461,3182,86,114,01 May 2009,12 March 2018,jqGrid,
192904,Python,Probabilistic Programming in Python: Bayesian Modeling and Probabilistic Machine Learning with Theano,228039,3018,6332,155,172,05 May 2009,14 March 2018,pymc3,
203076,Ruby,"Rails: 2 CPUs = 2x Testing Speed for RSpec, Test::Unit and Cucumber",31482,2227,1325,113,137,17 May 2009,01 March 2018,parallel_tests,
203666,Ruby,The Ruby cloud services library.,21367,4095,12232,342,920,18 May 2009,07 February 2018,fog,
206317,Java,Apache Camel,199075,1722,31738,317,537,21 May 2009,14 March 2018,camel,
206378,Java,Mirror of Apache Commons Lang,21409,1242,5165,96,134,21 May 2009,11 March 2018,commons-lang,
206444,Java,Mirror of Apache Hive,377948,1756,11679,146,260,21 May 2009,14 March 2018,hive,
218157,Python,A VIM-inspired filemanager for the console,7801,3117,3537,98,124,04 June 2009,13 February 2018,hut/ranger,
229006,Ruby,PDF generator (from HTML) plugin for Ruby on Rails,543,2571,687,122,145,16 June 2009,17 January 2018,wicked_pdf,
230589,PHP,"A fully RESTful server implementation for CodeIgniter using one library, one config file and one controller.",3825,3815,843,122,149,18 June 2009,31 January 2018,chriskacerguis/codeigniter-restserver,
235303,C#,Math.NET Numerics,141433,1376,2764,76,96,24 June 2009,13 March 2018,mathnet-numerics,
237159,JavaScript,"Fast, unopinionated, minimalist web framework for node.",8780,36604,5461,218,250,26 June 2009,13 February 2018,express,
239001,Ruby,RSpec meta-gem that depends on the other components,118,2205,215,20,23,29 June 2009,13 March 2018,rspec,
239940,Python,bottle.py is a fast and simple micro-framework for python web-applications.,5847,5214,1767,152,185,30 June 2009,13 February 2018,bottle,
239966,JavaScript,A JavaScript NES emulator.,736,3613,212,11,15,30 June 2009,14 March 2018,jsnes,
241458,Python,null,13611,2458,992,32,53,02 July 2009,17 December 2017,pybrain/pybrain,
242262,Objective-C,"tap + haiku = tapku, a well crafted open source iOS framework",20578,4005,545,10,17,03 July 2009,24 November 2017,tapkulibrary,
244025,Python,Twitter for Python!,2094,4834,1085,135,159,06 July 2009,08 February 2018,tweepy,
275303,Ruby,Ruby: parallel processing made simple and fast,603,2811,608,45,53,11 August 2009,16 January 2018,grosser/parallel,
277089,Ruby,help to kill N+1 queries and unused eager loading,1203,4950,1068,91,106,13 August 2009,08 February 2018,bullet,
285722,C++,OpenMW is an unofficial open source engine reimplementation of the game Morrowind.,50381,2013,18974,172,235,23 August 2009,14 February 2018,OpenMW/openmw,
292525,JavaScript,"Create, read and edit .zip files with Javascript",2387,3733,574,34,37,30 August 2009,23 November 2017,jszip,
300459,Objective-C,A utility that reminds your iPhone app's users to review the app.,225,4560,281,65,88,07 September 2009,01 December 2017,appirater,
301742,Python,"Tornado is a Python web framework and asynchronous networking library, originally developed at FriendFeed.",7620,15163,3657,279,344,09 September 2009,26 February 2018,tornado,
308770,Ruby,Flexible authentication solution for Rails with Warden.,4961,18258,3462,421,588,16 September 2009,14 February 2018,devise,
317757,JavaScript,Modernizr is a JavaScript library that detects HTML5 and CSS3 features in the user’s browser.,35799,22091,2402,226,258,25 September 2009,12 February 2018,Modernizr,
321278,JavaScript,a package manager for javascript,38195,15357,7988,451,521,29 September 2009,14 February 2018,npm,
323788,Ruby,Easy full stack backup operations on UNIX-like systems.,3412,4333,1263,94,113,01 October 2009,23 December 2017,backup,
324077,Python,Simple Python style checker in one Python file,1394,3212,1062,90,101,02 October 2009,17 February 2018,pycodestyle,
329035,Ruby,NOT MAINTAINED,87,2720,138,15,19,06 October 2009,07 November 2017,aanand/git-up,
330275,PHP,"Twig, the flexible, fast, and secure template language for PHP",5983,4446,3768,285,311,07 October 2009,07 February 2018,Twig,
339607,Objective-C,A similar control to the pull down to refresh control created by atebits in Tweetie 2.,1133,3341,16,5,6,16 October 2009,07 October 2016,EGOTableViewPullRefresh,
345048,Python,"A fully tested, abstract interface to creating OAuth clients and servers.",456,2707,352,34,42,21 October 2009,12 February 2018,python-oauth2,
357681,JavaScript,glob functionality for node.js,1068,4296,435,26,29,02 November 2009,18 October 2017,isaacs/node-glob,
363150,Python,Redis Python Client,1533,5812,1022,138,171,06 November 2009,11 February 2018,andymccurdy/redis-py,
363163,Ruby,Library for stubbing and setting expectations on HTTP requests in Ruby.,2004,2783,1443,161,187,06 November 2009,08 March 2018,webmock,
364315,PHP,Flexible and feature-complete Redis client for PHP and HHVM,5048,4119,1900,37,44,07 November 2009,13 February 2018,nrk/predis,
374228,C#,Simple REST and HTTP API Client for .NET,37345,5040,1379,165,209,16 November 2009,20 January 2018,RestSharp,
375388,Ruby,Authorization Gem for Ruby on Rails.,8361,6261,419,58,69,17 November 2009,22 November 2016,cancan,
376635,Ruby,Padrino is a full-stack ruby framework built upon Sinatra. ,10774,3096,5492,207,261,18 November 2009,09 February 2018,padrino-framework,
390510,Python,"gunicorn 'Green Unicorn' is a WSGI HTTP Server for UNIX, fast clients and sleepy applications.",3706,4529,2523,231,282,30 November 2009,12 February 2018,benoitc/gunicorn,
404319,Ruby,"Simple HTTP and REST client for Ruby, inspired by microframework syntax for specifying actions.",1424,4258,968,86,105,07 December 2009,01 January 2018,rest-client,
408601,Go,The easiest way to create web applications with Go,3188,3002,325,25,36,08 December 2009,20 June 2017,web,
416272,Java,Android UI Testing,2372,2336,1197,36,49,10 December 2009,27 September 2016,RobotiumTech/robotium,
417389,Ruby,"Simple, but flexible HTTP client library, with support for multiple backends.",1269,3886,1114,133,150,10 December 2009,13 February 2018,faraday,
417862,Ruby,Ruby toolkit for the GitHub API,13039,2804,2436,194,213,10 December 2009,02 February 2018,octokit.rb,
440647,JavaScript,"Backstretch is a simple jQuery plugin that allows you to add a dynamically-resized, slideshow-capable background image to any page or element. The image will stretch to fit the page/element, and will automatically resize as the window/element size changes.",9010,3915,221,19,21,17 December 2009,19 January 2018,jquery-backstretch,
441854,JavaScript,A Markdown parser for javascript,734,6486,449,39,44,18 December 2009,18 October 2017,evilstreak/markdown-js,
443962,C#,A small validation library for .NET that uses a fluent interface and lambda expressions for building validation rules.,16925,2933,1202,80,90,20 December 2009,01 February 2018,JeremySkinner/FluentValidation,
448045,PHP,The PHP Unit Testing framework.,25479,8152,9292,292,325,24 December 2009,13 February 2018,phpunit,
453037,C#,Library to help reading and writing CSV files,23595,1688,673,37,50,30 December 2009,10 March 2018,CsvHelper,
458058,PHP,The Symfony PHP framework,113664,16619,35710,386,2068,04 January 2010,28 February 2018,symfony,
460078,JavaScript,AngularJS - HTML enhanced for web apps!,98256,57999,8717,432,1807,06 January 2010,13 February 2018,angular.js,
460848,C#,"mRemoteNG is the next generation of mRemote, open source, tabbed, multi-protocol, remote connections manager.",189705,1891,3007,28,37,06 January 2010,13 March 2018,mRemoteNG,
462292,JavaScript,Mongo DB Native NodeJS Driver,82151,6554,4535,259,321,07 January 2010,07 February 2018,mongodb/node-mongodb-native,
462713,Python,Deep Learning Tutorial notes and code. See the wiki for more info.,7892,3240,1001,43,65,07 January 2010,26 January 2018,lisa-lab/DeepLearningTutorials,
467471,JavaScript,The world's most popular JavaScript library for rich text editing,38217,5044,8714,171,212,11 January 2010,08 February 2018,tinymce,
468596,Objective-C,This iOS framework allows settings to be in-app in addition to or instead of being in the Settings app.,947,2839,557,50,68,12 January 2010,11 January 2018,InAppSettingsKit,
475599,JavaScript,A port of log4js to node.js,1569,2908,1076,94,117,17 January 2010,15 February 2018,nomiddlename/log4js-node,
480080,C,Turning Nginx into a Full-Fledged Scriptable Web Platform,1706,4822,1323,15,16,20 January 2010,11 February 2018,openresty/openresty,
480804,JavaScript,"Generate, parse, and enhance JavaScript stack traces in all web browsers",9886,3020,456,19,29,20 January 2010,16 August 2017,stacktrace.js,
484873,Go,Expose localhost servers to the Internet,571,3012,185,16,21,23 January 2010,04 January 2015,localtunnel,
488514,Ruby,Manage your Ruby application's gem dependencies,34041,4097,9423,407,676,26 January 2010,13 February 2018,bundler/bundler,
500093,C#,"A wrapper executable that can be used to host any executable as an Windows service, in a liberal license",1025,1417,367,22,31,03 February 2010,21 February 2018,winsw,
505380,C#,A convention-based object-object mapper in .NET. ,71410,5201,2734,101,121,06 February 2010,13 February 2018,AutoMapper,
506402,JavaScript,null,166,3318,240,39,54,07 February 2010,19 December 2017,node-supervisor,
507775,Java,"Open Source, Distributed, RESTful Search Engine",386216,28751,30142,381,1067,08 February 2010,14 February 2018,elasticsearch,
508845,Objective-C,RestKit is a framework for consuming and modeling RESTful web resources on iOS and OS X,43354,10223,3489,162,220,09 February 2010,11 December 2017,RestKit,
512431,PHP,A lightweight nearly-zero-configuration object-relational mapper and fluent query builder for PHP5.,682,1929,460,45,51,11 February 2010,05 January 2018,idiorm,
547504,Python,Geocoding library for Python.,1061,1792,526,58,81,04 March 2010,14 March 2018,geopy,
557977,JavaScript,Realtime application framework (client),4509,5445,1541,99,106,11 March 2010,10 January 2018,socketio/socket.io-client,
557980,JavaScript,Realtime application framework (Node.JS server),12219,39247,1686,146,158,11 March 2010,01 February 2018,Automattic/socket.io,
558790,Ruby,A library for bulk insertion of data into your database using ActiveRecord.,4386,2222,768,78,91,12 March 2010,09 March 2018,activerecord-import,
560495,JavaScript,An API documentation generator for JavaScript.,16429,7450,1854,81,97,13 March 2010,04 February 2018,jsdoc,
569670,PHP,A Mustache implementation in PHP.,982,2638,805,37,41,19 March 2010,08 December 2017,mustache.php,
571929,C,A small self-contained alternative to readline and libedit,161,1880,122,10,12,20 March 2010,16 February 2018,linenoise,
574877,Java,The official AWS SDK for Java.,786557,2343,1395,130,164,22 March 2010,15 February 2018,aws/aws-sdk-java,
584410,Python,Creating delicious APIs for Django apps since 2010.,2843,3315,1248,170,190,29 March 2010,05 February 2018,django-tastypie,
585285,JavaScript,"A simple, Git-powered wiki with a sweet API and local frontend.",12275,8979,1925,143,173,29 March 2010,08 February 2018,gollum,
587311,Ruby,OmniAuth is a flexible authentication system utilizing Rack middleware.,2858,6514,1296,147,185,30 March 2010,28 December 2017,intridea/omniauth,
596892,Python,The Python micro framework for building web applications.,5917,33173,3184,411,519,06 April 2010,13 February 2018,flask,
597131,JavaScript,An async control-flow library that makes stepping through logic easy.,29,2168,40,8,9,06 April 2010,08 August 2017,step,
597887,PHP,Doctrine 2 Object Relational Mapper (ORM),34300,4287,11668,335,751,06 April 2010,13 February 2018,doctrine2,
600637,JavaScript,JavaScript Performance Monitor,32604,4741,134,16,17,08 April 2010,04 October 2017,mrdoob/stats.js,
610547,JavaScript,jQuery matchers and fixture loader for Jasmine framework,732,1947,308,63,76,14 April 2010,06 October 2017,jasmine-jquery,
612606,JavaScript,A JavaScript Date and Time Library,3730,1107,205,12,17,15 April 2010,17 November 2017,Datejs,
614070,Ruby,Library packaging and distribution for Ruby.,14588,1930,7760,277,312,16 April 2010,13 March 2018,rubygems,
616297,PHP,PHP port of resque (Workers and Queueing),316,3039,329,59,72,18 April 2010,04 January 2018,chrisboulton/php-resque,
618492,Java,Yahoo! Cloud Serving Benchmark,31445,1937,1174,105,138,19 April 2010,12 March 2018,YCSB,
622166,PHP,"Goutte, a simple PHP Web Scraper",2952,6043,296,65,69,21 April 2010,30 November 2017,FriendsOfPHP/Goutte,
623018,Ruby,"A lightweight Facebook library supporting the Graph, Marketing, and Atlas APIs, realtime updates, test users, and OAuth.",7347,3350,1051,89,109,22 April 2010,09 February 2018,koala,
626219,JavaScript,a tiny and isomorphic URL router for JavaScript,2037,5099,747,55,71,24 April 2010,12 June 2017,director,
640534,Python,A computer algebra system written in pure Python,88396,4604,31412,452,705,30 April 2010,28 February 2018,sympy,
642222,Python,Wrong project!  You should head over to http://github.com/sshuttle/sshuttle,1143,9018,414,31,36,02 May 2010,03 January 2018,apenwarr/sshuttle,
648343,C++,A C++ non-blocking network library for multi-threaded server in Linux,1470,4022,720,35,39,05 May 2010,29 January 2018,chenshuo/muduo,
648414,JavaScript,jQuery Validation Plugin library sources,7615,8507,798,183,203,05 May 2010,09 February 2018,jquery-validation,
655209,JavaScript,"A node.js module for parsing form data, especially file uploads.",2300,4234,419,59,65,07 May 2010,11 February 2018,felixge/node-formidable,
656494,PHP,CakePHP: The Rapid Development Framework for PHP - Official Repository,75819,7441,34204,376,645,08 May 2010,13 February 2018,cakephp,
658594,JavaScript,[UNMAINTAINED] Simple feed-forward neural network in JavaScript,1009,7977,150,13,19,10 May 2010,03 July 2017,brain,
659341,Java,Used to integrate Android apps with Facebook Platform.,25850,4412,683,50,81,10 May 2010,25 January 2018,facebook-android-sdk,
667561,JavaScript,generate massive amounts of fake data in Node.js and the browser,10060,13034,850,128,151,15 May 2010,07 February 2018,Faker.js,
677602,PHP,PHP 5.3 Object Oriented image manipulation library,12090,3224,1185,94,109,20 May 2010,12 February 2018,Imagine,
679662,JavaScript,null,217,1872,187,28,30,21 May 2010,08 March 2018,node-lru-cache,
687836,JavaScript,Connect is a middleware layer for Node.js,5241,7737,3509,130,151,26 May 2010,06 November 2017,connect,
688208,JavaScript,Stanford Javascript Crypto Library,44894,4820,453,47,65,26 May 2010,09 December 2017,bitwiseshiftleft/sjcl,
691146,JavaScript,Javascript tweening engine,15601,5159,496,46,51,28 May 2010,01 February 2018,tween.js,
697361,Python,Adds SQLAlchemy support to Flask,582,1979,394,72,81,01 June 2010,12 March 2018,flask-sqlalchemy,
699689,C#,.NET Driver for MongoDB,81233,1809,3171,53,71,02 June 2010,14 March 2018,mongo-csharp-driver,
706295,PHP,Parser for Markdown and Markdown Extra derived from the original Markdown.pl by John Gruber.,600,2622,395,31,39,06 June 2010,28 January 2018,php-markdown,
708649,JavaScript,turtles all the way down rpc,858,2834,551,24,28,08 June 2010,16 August 2017,dnode,
712530,JavaScript,"Javascript Canvas Library, SVG-to-Canvas (& canvas-to-SVG) Parser",115045,9579,3829,171,195,09 June 2010,12 February 2018,fabric.js,
714074,JavaScript,:koala: - PouchDB is a pocket-sized database.,118093,10119,4351,280,317,10 June 2010,14 February 2018,pouchdb,
715082,C#,"An advanced, composable, functional reactive model-view-viewmodel framework for all .NET platforms that is inspired by functional reactive programming. ReactiveUI allows you to  abstract mutable state away from your user interfaces, express the idea around a feature in one readable place and improve the testability of your application.",77180,3521,3823,103,118,11 June 2010,19 January 2018,ReactiveUI,
715168,JavaScript,get colors in your node.js console,267,3031,128,23,28,11 June 2010,13 February 2018,colors.js,
715524,JavaScript,GraphicsMagick for node,5376,4736,631,70,76,11 June 2010,11 January 2018,aheckmann/gm,
715605,Java,A blazingly small and sane redis java client,7109,6214,1490,136,164,11 June 2010,13 February 2018,jedis,
718309,Objective-C,Simple BDD for iOS,16038,3760,916,73,98,13 June 2010,12 January 2018,kiwi-bdd/Kiwi,
721040,Objective-C,JSON (JavaScript Object Notation) is a light-weight data interchange format that's easy to read and write for humans and computers alike. This framework implements a strict JSON parser and generator in Objective-C. ,4685,3806,1119,32,47,14 June 2010,26 January 2018,json-framework,
723523,JavaScript,:star2: jQuery Raty - A Star Rating Plugin,1572,2095,511,21,26,16 June 2010,13 March 2018,raty,
723980,PHP,"PHP library allowing thumbnail, snapshot or PDF generation from a url or a html page. Wrapper for wkhtmltopdf/wkhtmltoimage",356,2634,364,71,78,16 June 2010,24 January 2018,KnpLabs/snappy,
734957,JavaScript,Cron for NodeJS.,213,4315,297,48,55,23 June 2010,08 February 2018,ncb000gt/node-cron,
736644,C,A library of common data structures and algorithms written in C.,659,1131,260,5,6,23 June 2010,15 October 2016,c-algorithms,
738250,C#,"Lightweight, low-ceremony, framework for building HTTP based services on .Net and Mono",45122,5917,5446,267,314,24 June 2010,08 February 2018,Nancy,
738491,Objective-C,Used to integrate iOS apps with Facebook Platform.,72868,5876,670,52,88,24 June 2010,09 February 2018,facebook-ios-sdk,
743723,JavaScript,"Cross-browser storage for all use cases, used across the web.",480,10863,397,42,46,27 June 2010,01 February 2018,marcuswestin/store.js,
747698,JavaScript,"Test spies, stubs and mocks for JavaScript.",16835,5420,2364,249,290,29 June 2010,13 February 2018,Sinon.JS,
747722,Python,A utility for arming (creating) many bees (micro EC2 instances) to attack (load test) targets (web applications).,249,4462,249,32,49,29 June 2010,20 December 2017,beeswithmachineguns,
749137,Java,"Realtime Client Server Framework for the JVM, supporting WebSockets with Cross-Browser Fallbacks",108985,3077,5814,97,141,30 June 2010,09 February 2018,atmosphere,
757363,JavaScript,"Knockout makes it easier to create rich, responsive UIs with JavaScript",7222,8743,1646,74,88,05 July 2010,09 February 2018,knockout,
766625,JavaScript,Embedded JavaScript templates for node,1183,3782,227,24,34,09 July 2010,07 September 2017,ejs,
767761,JavaScript,A Powerful Collection Of Modules,232778,2590,5056,30,55,10 July 2010,13 June 2016,kissy,
771016,Python,"For the latest version of boto, see https://github.com/boto/boto3 -- Python interface to Amazon Web Services",15634,6059,7131,359,673,12 July 2010,07 February 2018,boto,
771088,JavaScript,Redis session store for Connect,282,1792,254,39,43,12 July 2010,25 January 2018,connect-redis,
778828,C#,Distributed Application Framework for .NET,29115,1401,4211,120,166,16 July 2010,11 March 2018,MassTransit,
778834,C#,An easy service hosting framework for building Windows services using .NET,48652,2262,214,58,67,16 July 2010,14 February 2018,Topshelf/Topshelf,
779276,Ruby,Do some browser detection with Ruby. Includes ActionController integration.,623,1619,437,74,82,16 July 2010,12 March 2018,browser,
790019,Python,OpenStack Storage (Swift),86533,1692,7321,269,377,22 July 2010,14 March 2018,swift,
790031,Python,OpenStack Compute (Nova),830055,2179,50169,320,1528,22 July 2010,14 March 2018,nova,
790359,JavaScript,An easy-to-use multi SQL dialect ORM for Node.js,21762,13137,7886,402,771,22 July 2010,13 February 2018,sequelize,
791299,C#,MonoDevelop is a cross platform IDE mostly aimed at Mono/.NET developers,323519,2019,54669,261,375,22 July 2010,14 March 2018,monodevelop,
795421,JavaScript,A full-featured http proxy for node.js,1282,8365,1153,167,180,24 July 2010,31 January 2018,node-http-proxy,
797129,JavaScript,:calling: Apple Push Notification module for Node.js,1366,3387,1093,63,72,25 July 2010,20 December 2017,argon/node-apn,
800115,JavaScript,String manipulation helpers for javascript,4581,3270,695,81,96,27 July 2010,13 September 2017,underscore.string,
800294,Objective-C,Objective-C JSON,1191,6171,69,4,6,27 July 2010,13 April 2016,johnezang/JSONKit,
802229,JavaScript,:cn: ???? ? hᮠz조?n y?n,7841,2724,276,13,14,28 July 2010,17 January 2018,hotoo/pinyin,
805461,JavaScript,A pure node.js JavaScript Client implementing the MySql protocol.,2304,11250,1205,108,116,29 July 2010,13 February 2018,felixge/node-mysql,
812393,Ruby,An opinionated framework for creating REST-like APIs in Ruby.,4457,8314,2004,304,343,02 August 2010,14 February 2018,grape,
812610,Ruby,Guard is a command line tool to easily handle events on file system modifications.,3713,5508,2356,152,176,02 August 2010,01 February 2018,guard,
814715,JavaScript,A JavaScript library for rendering music notation and guitar tablature.,26769,2024,1615,46,61,03 August 2010,04 March 2018,vexflow,
815644,Go,DNS library in Go,13187,2630,3642,121,138,03 August 2010,07 February 2018,miekg/dns,
827590,Python,music library manager and MusicBrainz tagger,17189,6992,8028,265,304,09 August 2010,08 February 2018,beetbox/beets,
839076,JavaScript,JavaScript parser / mangler / compressor / beautifier library for NodeJS,1915,7787,540,36,40,15 August 2010,15 December 2016,mishoo/UglifyJS,
841412,C#,A collection of Xamarin.Android sample projects.,339653,1648,1542,63,85,16 August 2010,13 March 2018,monodroid-samples,
844146,Ruby,High performance memcached client for Ruby,1013,2795,902,114,133,17 August 2010,18 January 2018,dalli,
847885,JavaScript,Beautiful math in all browsers,118261,4944,3174,28,36,19 August 2010,08 February 2018,MathJax,
865412,Java,"A scalable, distributed Time Series Database.",32493,2923,1464,93,128,27 August 2010,13 February 2018,OpenTSDB/opentsdb,
867564,Java,Android Unit Testing Framework,37382,3800,7783,203,677,28 August 2010,14 February 2018,robolectric/robolectric,
868789,C#,"#ziplib is a Zip, GZip, Tar and BZip2 library written entirely in C# for the .NET platform.",12157,1191,760,28,31,28 August 2010,17 January 2018,SharpZipLib,
887840,Java,A VT-100 terminal emulator for the Android OS,6230,1767,1038,63,84,04 September 2010,21 January 2018,Android-Terminal-Emulator,
889932,Java,Simple OAuth library for Java,2843,4290,810,89,113,05 September 2010,11 February 2018,scribe-java,
890377,Python,Official NetworkX source code repository.  ,12408,3857,5462,222,246,06 September 2010,13 February 2018,networkx,
